Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
2002-04-22,55664,63994,55664,63112,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,8151792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2002-04-23,60858,61544,57330,57624,-8.70%,N/A,N/A,N/A,67718,61470,59388,5384435,N/A,N/A,N/A,-468212,N/A,N/A,N/A,N/A,-5384435
2002-04-24,58310,59584,53214,55860,-3.06%,N/A,N/A,N/A,59584,58530,55370,4659371,N/A,N/A,N/A,-610846,N/A,N/A,N/A,N/A,-10043806
2002-04-25,53900,55272,50764,51352,-8.07%,N/A,N/A,N/A,57722,56130,51352,3913730,N/A,N/A,N/A,-926690,N/A,N/A,N/A,N/A,-13957536
2002-04-26,50764,54880,49294,53704,4.58%,56330,N/A,N/A,53312,52185,48804,4176615,5257189,N/A,N/A,-735395,N/A,N/A,N/A,N/A,-9780921
2002-04-29,50274,52332,50274,51156,-4.74%,53939,N/A,N/A,57085,52896,51499,1990302,4024891,N/A,N/A,-829825,N/A,N/A,N/A,N/A,-11771223
2002-04-30,50960,51352,49196,49980,-2.30%,52410,N/A,N/A,52773,51230,50715,1979486,3343901,N/A,N/A,-875331,N/A,N/A,N/A,N/A,-13750709
2002-05-02,51646,53802,50666,53802,7.65%,51999,N/A,N/A,50666,50127,48510,2250330,2862093,N/A,N/A,-703247,N/A,N/A,N/A,N/A,-11500379
2002-05-03,52920,56056,52528,55860,3.83%,52900,N/A,N/A,55370,53018,52234,2251005,2529548,N/A,N/A,-617143,N/A,N/A,N/A,N/A,-9249374
2002-05-06,54488,56546,53900,53900,-3.51%,52940,N/A,N/A,57722,55076,54194,1882065,2070638,N/A,N/A,-683180,N/A,N/A,N/A,N/A,-11131439
2002-05-07,52920,54390,52528,54390,0.91%,53586,N/A,N/A,55223,54562,52577,1618200,1996217,N/A,N/A,-668469,N/A,N/A,86.18,N/A,-9513239
2002-05-08,55762,57134,55174,56840,4.50%,54958,N/A,N/A,55321,53924,53459,1969186,1994157,N/A,N/A,-579767,N/A,N/A,98.64,N/A,-7544053
2002-05-09,58702,58702,55860,57330,0.86%,55664,N/A,N/A,57967,56497,56007,2137841,1971659,N/A,N/A,-561338,N/A,N/A,102.63,N/A,-5406212
2002-05-10,56644,56938,52822,53312,-7.01%,55154,N/A,N/A,58016,57306,55174,2103410,1942140,N/A,N/A,-708756,N/A,N/A,103.82,N/A,-7509622
2002-05-13,53312,53312,50764,52920,-0.74%,54958,N/A,N/A,55125,54096,51009,1860162,1937760,N/A,N/A,-722434,N/A,N/A,98.54,N/A,-9369784
2002-05-14,53508,54684,49588,50862,-3.89%,54253,N/A,N/A,53116,52479,50568,4260772,2466274,N/A,N/A,-888130,N/A,N/A,99.43,N/A,-13630556
2002-05-15,51450,53018,51254,52724,3.66%,53430,N/A,N/A,52773,51499,47677,3620990,2796635,N/A,N/A,-755570,N/A,N/A,105.49,N/A,-10009566
2002-05-16,53410,53410,50960,50960,-3.35%,52156,N/A,N/A,53753,52430,51989,1828203,2734707,N/A,N/A,-816737,N/A,N/A,94.72,N/A,-11837769
2002-05-17,52136,53312,51548,52430,2.88%,51979,N/A,N/A,52185,51572,49735,1930347,2700095,N/A,N/A,-761054,N/A,N/A,93.86,N/A,-9907422
2002-05-20,52430,54292,52332,53312,1.68%,52058,54072,N/A,53753,52430,51989,1574443,2642951,2977134,N/A,-734568,N/A,38.21,98.91,N/A,-8332979
2002-05-21,53116,53116,50960,50960,-4.41%,52077,53464,N/A,54782,53312,52822,1096791,2010155,2624384,N/A,-782955,N/A,36.05,93.69,N/A,-9429770
2002-05-22,50960,52920,50470,52724,3.46%,52077,53219,N/A,52038,51499,49882,1286486,1543254,2419487,N/A,-738423,N/A,38.79,92.76,N/A,-8143284
2002-05-23,51744,53116,51744,51940,-1.49%,52273,53023,N/A,54047,52210,51597,884834,1354580,2230760,N/A,-751581,N/A,38.02,90.6,N/A,-9028118
2002-05-24,52430,53410,52332,52822,1.70%,52352,53096,N/A,53214,52185,51842,962529,1161017,2083200,N/A,-735236,N/A,39.44,99.08,N/A,-8065589
2002-05-27,51744,52822,51548,51744,-2.04%,52038,52998,N/A,53655,52846,52577,561114,958351,1902425,N/A,-746687,N/A,38.31,97.78,N/A,-8626703
2002-05-28,52038,52332,50470,51450,-0.57%,52136,53013,N/A,52381,51964,51107,768517,892696,1841336,N/A,-751054,N/A,38,101.16,N/A,-9395220
2002-05-29,50274,50960,49882,50470,-1.90%,51685,53038,N/A,51891,51426,50029,879003,811199,1786311,N/A,-767797,N/A,36.94,95.72,N/A,-10274223
2002-05-30,49980,50274,47481,47726,-5.44%,50842,52734,N/A,51254,50446,50176,1573716,948976,1752481,N/A,-853358,N/A,34.12,93.65,N/A,-11847939
2002-05-31,47726,48216,44541,44884,-5.95%,49255,52185,N/A,49000,48302,46207,1374163,1031303,1708639,N/A,-935187,N/A,31.5,85.61,N/A,-13222102
2002-06-03,44590,47334,44541,47334,5.46%,48373,51857,N/A,46550,45631,42875,1337000,1186480,1681385,N/A,-862207,N/A,35.98,88.79,11.69,-11885102
2002-06-04,45864,48510,45864,48020,1.45%,47687,51538,N/A,48730,46636,45938,992645,1231305,1650108,N/A,-847820,-3.6,37.19,94.23,12.99,-10892457
2002-06-05,48902,50666,48314,50470,5.10%,47687,51220,N/A,49588,47604,46942,1406400,1336785,1621968,N/A,-776065,-3.76,41.38,95.72,12.64,-9486057
2002-06-07,49784,51254,48902,50764,0.58%,48294,50891,N/A,51744,49980,49392,1256349,1273311,1577894,N/A,-768747,-4.02,41.87,97.74,9.94,-8229708
2002-06-10,51548,52528,51548,52038,2.51%,49725,50828,N/A,52185,50421,49833,937283,1185935,1519587,N/A,-745224,-4.27,44.02,98.52,6.4,-7292425
2002-06-11,52038,53606,51450,53312,2.45%,50921,50847,N/A,52773,52038,51793,866321,1091800,1469895,N/A,-724015,-4.06,46.12,103.03,9.28,-6426104
2002-06-12,52430,53900,51744,53900,1.10%,52097,50999,N/A,54537,52920,52381,1179199,1129110,1315817,N/A,-711009,-3.8,47.09,104.76,13.37,-5246905
2002-06-14,53410,53998,51254,51548,-4.36%,52312,50940,N/A,54978,53361,52822,1135273,1074885,1191531,N/A,-760548,-3.95,43.77,102.14,10.66,-6382178
2002-06-17,51842,52528,51156,51646,0.19%,52489,50975,N/A,52773,52087,50029,669410,957497,1133591,N/A,-759275,-3.34,43.94,108.21,17.66,-5712768
2002-06-18,52626,53214,51646,51842,0.38%,52450,50945,N/A,52087,51744,50715,661952,902431,1070171,N/A,-756763,-2.38,44.31,115.5,28.6,-5050816
2002-06-19,51058,52136,48804,49098,-5.29%,51607,50735,N/A,52528,52136,50960,1049747,939116,1043937,N/A,-812327,-2.16,40.44,103.73,31.01,-6100563
2002-06-20,48608,49392,47726,49000,-0.20%,50627,50637,N/A,50617,49784,47285,678610,838998,1023028,N/A,-813681,-1.75,40.3,102.04,34.08,-6779173
2002-06-21,48020,50764,47334,50764,3.60%,50470,50539,N/A,50029,48780,48363,609115,733767,989159,N/A,-791753,-1.33,43.81,100.58,37.11,-6170058
2002-06-24,49490,50176,48804,49588,-2.32%,50058,50421,N/A,52479,49906,49049,755785,751042,982707,N/A,-809261,-0.92,42.07,97.68,40.32,-6925843
2002-06-25,50078,50666,47824,47922,-3.36%,49274,50176,N/A,50568,49539,49196,959852,810622,982573,N/A,-841509,-1.28,39.71,92.09,37.52,-7885695
2002-06-26,46158,46403,42630,43267,-9.71%,48108,49752,N/A,49294,48584,46452,1487344,898141,1028884,N/A,-985986,-2.15,34.08,81.16,32.08,-9373039
2002-06-27,45080,45276,43757,44492,2.83%,47207,49404,N/A,44835,43892,41062,1079356,978290,1044426,N/A,-955426,-3.13,36.58,82.55,27.19,-8293683
2002-06-28,45276,48167,45276,47040,5.73%,46462,49233,N/A,44884,44504,43365,1019887,1060445,1051470,N/A,-897019,-3.35,41.45,91.25,26.34,-7273796
2002-07-02,45570,48755,45227,48216,2.50%,46187,49257,N/A,49049,46881,46158,1093565,1128001,1027463,N/A,-869679,-3.37,43.56,93.36,26.27,-6180231
2002-07-03,48020,49490,46942,49294,2.24%,46462,49478,N/A,50250,47604,46722,898280,1115686,1003669,N/A,-849596,-2.88,45.47,95.09,28.22,-5281951
