,Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
0,2002-07-19,43708,45570,43365,45276,1.54%,45952.0,47863.0,50890.0,45350.0,44945.0,43732.0,1279448,1327583.0,1242035.0,1754369.0,-991130.0,-3.35,40.49,93.81,23.1,-7587268.0
1,2002-07-22,43414,44198,42434,42434,-6.28%,44825.0,47535.0,50545.0,46526.0,44872.0,44320.0,1406494,1293922.0,1278429.0,1641947.0,-1079417.0,-4.2,36.39,85.07,19.47,-8993762.0
2,2002-07-23,42140,44149,41699,44100,3.93%,44365.0,47202.0,50320.0,43316.0,42875.0,41552.0,1486851,1272331.0,1322316.0,1576987.0,-1021042.0,-4.87,40.14,87.38,17.48,-7506911.0
3,2002-07-24,44100,45276,43659,44590,1.11%,44198.0,46952.0,50132.0,45350.0,43512.0,42900.0,2075429,1455307.0,1388298.0,1533922.0,-997981.0,-5.42,41.21,87.0,16.28,-5431482.0
4,2002-07-25,46648,46648,43806,44002,-1.32%,44080.0,46756.0,50009.0,45742.0,44529.0,44124.0,1598449,1569334.0,1420228.0,1495334.0,-1019060.0,-5.64,40.3,87.7,15.87,-7029931.0
5,2002-07-26,43512,44492,41160,41748,-5.12%,43375.0,46680.0,49810.0,45325.0,44614.0,42483.0,1167565,1546958.0,1404239.0,1445183.0,-1078868.0,-5.27,36.97,87.21,16.67,-8197496.0
6,2002-07-29,41846,42581,40964,41356,-0.94%,43159.0,46523.0,49647.0,43120.0,42287.0,39788.0,971983,1460055.0,1398871.0,1428211.0,-1087995.0,-5.03,36.41,86.03,17.26,-9169479.0
7,2002-07-30,42630,44198,42532,43806,5.92%,43100.0,46361.0,49544.0,41968.0,41564.0,40352.0,1557812,1474248.0,1425767.0,1421183.0,-995707.0,-4.86,42.12,94.4,17.71,-7611667.0
8,2002-07-31,43806,44639,43365,43806,0.00%,42944.0,46141.0,49377.0,44835.0,43586.0,43169.0,695590,1198280.0,1405868.0,1395271.0,-995707.0,-4.7,42.12,96.44,18.16,-7611667.0
9,2002-08-01,43708,44198,42581,43022,-1.79%,42748.0,45827.0,49163.0,44443.0,43904.0,43169.0,526186,983827.0,1387264.0,1366524.0,-1005124.0,-4.63,40.81,96.48,18.42,-8137853.0
10,2002-08-02,41846,42140,41356,42042,-2.28%,42806.0,45516.0,48966.0,43610.0,43206.0,41993.0,723076,894929.0,1305635.0,1347207.0,-1021595.0,-4.9,39.21,92.86,17.81,-8860929.0
11,2002-08-05,41160,41552,39494,39543,-5.94%,42444.0,44999.0,48718.0,42483.0,41895.0,41699.0,923465,885226.0,1266671.0,1335628.0,-1076487.0,-5.33,35.46,93.19,16.15,-9784394.0
12,2002-08-06,38318,38808,37191,38220,-3.35%,41327.0,44387.0,48408.0,40548.0,40033.0,38490.0,2403205,1054304.0,1311677.0,1342862.0,-1156891.0,-5.96,33.66,86.67,15.03,-12187599.0
13,2002-08-07,39200,39494,38220,38514,0.77%,40268.0,43750.0,48094.0,38514.0,38110.0,36897.0,1483050,1211796.0,1339994.0,1331949.0,-1145483.0,-6.82,34.44,86.37,12.29,-10704549.0
14,2002-08-08,38612,39053,37779,38318,-0.51%,39327.0,43157.0,47844.0,39004.0,38686.0,37730.0,1202966,1347152.0,1328972.0,1316941.0,-1151605.0,-7.7,34.16,87.08,9.26,-11907515.0
15,2002-08-09,39788,40082,38906,38906,1.53%,38700.0,42708.0,47611.0,38686.0,38367.0,37412.0,1231039,1448745.0,1304554.0,1306456.0,-1132715.0,-8.51,35.82,93.19,4.13,-10676476.0
16,2002-08-20,42924,43316,42532,43316,3.51%,42571.0,41714.0,46628.0,42483.0,42164.0,41209.0,1235192,1218741.0,1264495.0,1188651.0,-987840.0,-7.3,47.66,109.54,5.15,-7929126.0
17,2002-08-21,42630,44100,42630,43904,1.36%,42924.0,41704.0,46481.0,43708.0,43120.0,42924.0,854454,1136863.0,1232875.0,1181450.0,-976241.0,-6.04,49.08,114.87,13.03,-7074672.0
18,2002-08-22,44198,45080,43904,44688,1.79%,43296.0,41709.0,46361.0,44737.0,43634.0,43267.0,1225144,1112547.0,1190361.0,1187122.0,-954364.0,-4.66,50.95,116.03,21.69,-5849528.0
19,2002-08-23,44394,45325,43512,44002,-1.54%,43551.0,41709.0,46214.0,45472.0,44590.0,44296.0,746478,1003723.0,1147763.0,1183521.0,-965823.0,-3.36,49.28,114.83,29.77,-6596006.0
20,2002-08-26,43022,43316,42483,42630,-3.12%,43708.0,41753.0,46062.0,44664.0,44210.0,42850.0,557984,923850.0,1117284.0,1183469.0,-983221.0,-2.24,46.09,109.57,36.19,-7153990.0
21,2002-08-27,42679,43071,42336,42630,0.00%,43571.0,41817.0,45915.0,42973.0,42765.0,42140.0,552013,787215.0,1096285.0,1179861.0,-983221.0,-1.09,46.09,108.07,42.99,-7153990.0
22,2002-08-28,41944,42875,41944,42140,-1.15%,43218.0,41733.0,45776.0,42850.0,42667.0,42116.0,483232,712970.0,1042556.0,1173264.0,-988775.0,-0.79,44.93,100.0,44.76,-7637222.0
23,2002-08-29,41944,42140,41307,41846,-0.70%,42650.0,41635.0,45678.0,42973.0,42275.0,42042.0,656280,599197.0,1040590.0,1157974.0,-993354.0,-0.71,44.23,97.71,45.21,-8293502.0
24,2002-08-30,42336,44002,42140,44002,5.15%,42650.0,41684.0,45663.0,41993.0,41785.0,41160.0,1038846,657671.0,1066224.0,1152385.0,-939831.0,-0.37,50.25,102.98,47.48,-7254656.0
25,2002-09-02,45080,45080,43708,44541,1.22%,43032.0,41809.0,45617.0,44933.0,43536.0,43071.0,950326,736139.0,1077586.0,1145941.0,-928190.0,0.34,51.63,106.44,52.27,-6304330.0
26,2002-09-03,44541,44541,43414,43414,-2.53%,43189.0,42003.0,45540.0,44810.0,44468.0,43438.0,638205,753378.0,1063323.0,1140033.0,-944338.0,0.69,48.66,100.23,54.92,-6942535.0
27,2002-09-04,42532,42875,42336,42826,-1.35%,43326.0,42233.0,45412.0,43978.0,43696.0,42850.0,700802,796892.0,978203.0,1128273.0,-953829.0,1.27,47.16,97.54,59.8,-7643337.0
