,Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
0,2001-10-19,3300,3410,3260,3400,4.29%,3264.0,3051.0,3522.0,3305.0,3238.0,3215.0,41555000.0,25010700.0,38818195.0,29093587.0,-2032042.0,-6.07,54.35,115.25,29.22,-27472300.0
1,2001-10-22,3460,3470,3330,3390,-0.29%,3302.0,3056.0,3521.0,3480.0,3368.0,3330.0,18732550.0,25271710.0,38676872.0,29047735.0,-2087138.0,-4.62,54.01,116.1,34.32,-46204850.0
2,2001-10-23,3500,3530,3450,3480,2.65%,3362.0,3076.0,3520.0,3430.0,3395.0,3290.0,39580050.0,30063550.0,37586695.0,29358918.0,-1036340.0,-2.87,56.61,114.85,40.11,-6624800.0
3,2001-10-24,3560,3710,3550,3710,6.61%,3448.0,3120.0,3521.0,3505.0,3485.0,3425.0,56117050.0,35567700.0,37121640.0,29929750.0,2672546.0,-0.19,62.35,124.5,49.33,49492250.0
4,2001-10-25,3700,3700,3620,3660,-1.35%,3528.0,3154.0,3520.0,3790.0,3670.0,3630.0,27613950.0,36719720.0,35653300.0,29909945.0,2300390.0,1.99,60.51,115.09,57.18,21878300.0
5,2001-10-26,3660,3690,3580,3620,-1.09%,3572.0,3192.0,3518.0,3680.0,3660.0,3600.0,47823350.0,37973390.0,35941015.0,30372743.0,1777730.0,4.02,59.04,111.04,65.34,-25945050.0
6,2001-10-29,3660,3700,3610,3680,1.66%,3630.0,3235.0,3517.0,3655.0,3628.0,3545.0,25484600.0,39323800.0,35551320.0,30426933.0,2200127.0,5.46,60.56,115.0,70.6,-460450.0
7,2001-10-30,3540,3580,3470,3480,-5.43%,3630.0,3268.0,3509.0,3735.0,3668.0,3645.0,33827200.0,38173230.0,35417655.0,30026068.0,361692.0,6.99,53.58,109.43,77.34,-34287650.0
8,2001-10-31,3410,3480,3410,3470,-0.29%,3582.0,3302.0,3501.0,3530.0,3502.0,3420.0,28982400.0,32746300.0,34502488.0,29979241.0,278409.0,8.28,53.25,105.79,84.08,-63270050.0
9,2001-11-01,3540,3630,3480,3580,3.17%,3566.0,3336.0,3494.0,3510.0,3458.0,3440.0,34297250.0,34082960.0,32970920.0,30004244.0,1365642.0,9.41,56.32,109.82,88.99,-28972800.0
10,2001-11-02,3630,3670,3630,3660,2.23%,3574.0,3371.0,3489.0,3680.0,3568.0,3530.0,37924850.0,32103260.0,32865205.0,30367482.0,2213125.0,10.49,58.42,107.65,94.32,8952050.0
11,2001-11-05,3670,3700,3620,3700,1.09%,3578.0,3410.0,3486.0,3685.0,3655.0,3645.0,30182650.0,33042870.0,33377470.0,30502376.0,2542990.0,11.57,59.44,109.14,99.3,39134700.0
12,2001-11-06,3780,3830,3760,3800,2.70%,3642.0,3448.0,3486.0,3740.0,3680.0,3660.0,53012750.0,36879980.0,34046465.0,31162438.0,3975767.0,12.09,61.92,109.2,100.0,92147450.0
13,2001-11-07,3820,3830,3770,3810,0.26%,3710.0,3490.0,3489.0,3850.0,3798.0,3780.0,44269300.0,39937360.0,35417132.0,31414084.0,4092265.0,11.88,62.17,102.7,100.0,136416750.0
14,2001-11-08,3810,3870,3800,3860,1.31%,3766.0,3524.0,3491.0,3820.0,3805.0,3760.0,37603600.0,40598630.0,34388715.0,31847760.0,4585751.0,11.71,63.41,105.46,100.0,174020350.0
15,2001-11-09,3900,4010,3860,3970,2.85%,3828.0,3560.0,3494.0,3900.0,3848.0,3830.0,65437800.0,46101220.0,35297142.0,32627642.0,6450558.0,11.5,65.99,109.67,100.0,239458150.0
16,2001-11-12,4010,4050,3930,4000,0.76%,3888.0,3600.0,3494.0,4065.0,3952.0,3915.0,23501050.0,44764900.0,35600820.0,32665655.0,6628148.0,11.27,66.67,108.7,100.0,262959200.0
17,2001-11-13,3920,4000,3900,4000,0.00%,3928.0,3640.0,3496.0,4025.0,3995.0,3905.0,30012850.0,40164920.0,36320420.0,32860332.0,6628148.0,11.38,66.67,114.94,100.0,262959200.0
18,2001-11-14,4100,4300,4060,4300,7.50%,4026.0,3692.0,3502.0,4050.0,3975.0,3950.0,75030450.0,46317150.0,38642128.0,33815045.0,12255432.0,11.8,72.73,123.92,100.0,337989650.0
19,2001-11-15,4210,4290,4150,4190,-2.56%,4092.0,3738.0,3509.0,4420.0,4240.0,4180.0,36277400.0,46051910.0,39363305.0,34262359.0,11327405.0,12.07,67.95,117.04,100.0,301712250.0
20,2001-11-16,4160,4190,4070,4180,-0.24%,4134.0,3777.0,3516.0,4240.0,4205.0,4100.0,35796900.0,40123730.0,39075400.0,34496703.0,11241971.0,12.04,67.52,114.21,100.0,265915350.0
21,2001-11-19,4100,4400,4100,4370,4.55%,4208.0,3826.0,3525.0,4245.0,4155.0,4125.0,39315500.0,43286620.0,40104548.0,34789088.0,13029039.0,12.2,71.15,118.11,100.0,305230850.0
22,2001-11-20,4400,4460,4270,4270,-2.29%,4262.0,3866.0,3532.0,4535.0,4310.0,4235.0,37696850.0,44823420.0,40010388.0,35168240.0,12166411.0,12.09,66.99,112.37,100.0,267534000.0
23,2001-11-21,4160,4300,4150,4220,-1.17%,4246.0,3891.0,3538.0,4365.0,4318.0,4175.0,33433800.0,36504090.0,38876225.0,35600174.0,11774915.0,11.49,64.99,110.76,100.0,234100200.0
24,2001-11-22,4230,4320,4160,4320,2.37%,4272.0,3924.0,3544.0,4335.0,4222.0,4185.0,17597850.0,32768180.0,38375420.0,35260882.0,12191925.0,11.35,67.07,111.92,100.0,251698050.0
25,2001-11-23,4340,4450,4300,4440,2.78%,4324.0,3965.0,3552.0,4400.0,4280.0,4240.0,27370000.0,31082800.0,37352752.0,35374771.0,12952203.0,11.39,69.37,111.84,100.0,279068050.0
26,2001-11-26,4470,4620,4470,4600,3.60%,4370.0,4011.0,3564.0,4520.0,4408.0,4370.0,37993800.0,30818460.0,37978212.0,35689012.0,14321349.0,11.43,72.12,115.0,100.0,317061850.0
27,2001-11-27,4640,4660,4570,4620,0.43%,4440.0,4068.0,3575.0,4685.0,4572.0,4535.0,41962900.0,31671670.0,38384998.0,36178579.0,14503797.0,11.74,72.44,115.5,100.0,359024750.0
28,2001-11-28,4540,4600,4350,4380,-5.19%,4472.0,4114.0,3585.0,4640.0,4618.0,4550.0,29704850.0,30925880.0,38421120.0,36242860.0,12960688.0,11.43,63.1,101.86,100.0,329319900.0
29,2001-11-29,4290,4490,4170,4200,-4.11%,4448.0,4144.0,3592.0,4490.0,4428.0,4240.0,53268400.0,38059990.0,39369678.0,36956483.0,10771575.0,10.87,57.26,100.24,100.0,276051500.0
30,2001-11-30,4460,4460,4330,4360,3.81%,4432.0,4180.0,3600.0,4345.0,4265.0,4025.0,31231700.0,38832330.0,39035020.0,37164045.0,11961354.0,10.66,60.67,104.31,100.0,307283200.0
31,2001-12-03,4430,4500,4290,4490,2.98%,4410.0,4219.0,3611.0,4410.0,4378.0,4280.0,32863750.0,37806320.0,39169075.0,37361405.0,12941237.0,10.27,63.2,102.75,100.0,340146950.0
32,2001-12-04,4530,4610,4440,4600,2.45%,4406.0,4259.0,3625.0,4600.0,4442.0,4390.0,32742500.0,35962240.0,38155562.0,37615545.0,13743391.0,10.18,65.19,107.73,100.0,372889450.0
33,2001-12-05,4760,5290,4740,5290,15.00%,4588.0,4333.0,3650.0,4690.0,4562.0,4520.0,115131900.0,53047650.0,41698692.0,39153745.0,31013176.0,11.36,74.39,125.36,100.0,488021350.0
34,2001-12-06,5560,5860,5350,5500,3.97%,4848.0,4415.0,3677.0,5565.0,5152.0,5015.0,114632050.0,65320380.0,45550115.0,40830886.0,35563787.0,12.51,76.39,127.31,100.0,602653400.0
35,2001-12-07,5400,5730,5330,5670,3.09%,5110.0,4500.0,3710.0,5680.0,5552.0,5170.0,58709350.0,70815910.0,45213692.0,41545875.0,37378440.0,13.49,77.87,127.7,100.0,661362750.0
36,2001-12-10,5580,5580,5170,5200,-8.29%,5252.0,4560.0,3742.0,5900.0,5600.0,5500.0,65281500.0,77299460.0,47302715.0,41217695.0,31967099.0,13.69,65.83,113.04,100.0,596081250.0
37,2001-12-11,5040,5190,4970,5170,-0.58%,5366.0,4618.0,3771.0,5390.0,5288.0,4980.0,52626550.0,81276270.0,48433400.0,41098988.0,31663484.0,13.53,65.15,111.9,100.0,543454700.0
38,2001-12-12,5160,5420,5030,5400,4.45%,5388.0,4674.0,3805.0,5290.0,5125.0,5070.0,53896550.0,69029200.0,47376705.0,41444276.0,34061203.0,13.61,67.84,123.29,100.0,597351250.0
39,2001-12-13,5400,5430,5220,5300,-1.85%,5348.0,4729.0,3838.0,5605.0,5312.0,5215.0,63766150.0,58856020.0,48751142.0,42032834.0,32880348.0,14.1,65.52,126.19,100.0,533585100.0
40,2001-12-14,5110,5230,5090,5100,-3.77%,5234.0,4775.0,3868.0,5365.0,5312.0,5155.0,46510600.0,56416270.0,49286828.0,42393474.0,31125231.0,14.25,61.12,116.97,100.0,487074500.0
41,2001-12-17,5010,5150,4920,5010,-1.76%,5196.0,4807.0,3896.0,5165.0,5130.0,5025.0,41257650.0,51611500.0,49383935.0,42721785.0,30397155.0,13.94,59.23,111.58,100.0,445816850.0
42,2001-12-18,5080,5390,5080,5210,3.99%,5204.0,4854.0,3932.0,5125.0,5022.0,4895.0,56728200.0,52431830.0,50335502.0,42644195.0,32661754.0,13.97,61.99,113.26,100.0,502545050.0
43,2001-12-19,5310,5350,5250,5280,1.34%,5180.0,4907.0,3972.0,5455.0,5222.0,5145.0,30870650.0,47826650.0,50207345.0,42068403.0,33076523.0,13.25,62.91,99.81,99.91,533415700.0
44,2001-12-20,5200,5410,5110,5300,0.38%,5180.0,4956.0,4012.0,5315.0,5290.0,5215.0,32439500.0,41561320.0,50949428.0,41659382.0,33199399.0,12.25,63.18,96.36,98.13,565855200.0
45,2001-12-21,5100,5190,5000,5030,-5.09%,5166.0,4986.0,4048.0,5505.0,5280.0,5205.0,41650450.0,40589290.0,51663450.0,41652406.0,31077584.0,10.79,57.23,88.71,92.55,524204750.0
46,2001-12-24,5050,5160,5010,5050,0.40%,5174.0,5008.0,4085.0,5110.0,5062.0,4920.0,20431250.0,36424010.0,50785322.0,41438285.0,31158822.0,9.82,57.54,97.12,90.88,544636000.0
