Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
2001-07-24,5936,6292,5652,6052,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,6602485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2001-07-25,5892,6105,5812,5821,-3.82%,N/A,N/A,N/A,6493,6012,5852,2877755,N/A,N/A,N/A,-110032,N/A,N/A,N/A,N/A,-2877755
2001-07-26,5874,6088,5669,5732,-1.53%,N/A,N/A,N/A,5963,5890,5669,2517050,N/A,N/A,N/A,-148519,N/A,N/A,N/A,N/A,-5394805
2001-07-27,5838,5918,5714,5749,0.31%,N/A,N/A,N/A,5910,5805,5491,2073490,N/A,N/A,N/A,-142079,N/A,N/A,N/A,N/A,-3321315
2001-07-30,5652,5785,5527,5554,-3.41%,5781,N/A,N/A,5834,5783,5629,1315915,3077339,N/A,N/A,-186894,N/A,N/A,N/A,N/A,-4637230
2001-07-31,5554,5678,5554,5634,1.44%,5698,N/A,N/A,5669,5605,5411,1402515,2037345,N/A,N/A,-166665,N/A,N/A,N/A,N/A,-3234715
2001-08-01,5634,6168,5634,5999,6.48%,5733,N/A,N/A,5718,5625,5594,5776155,2617025,N/A,N/A,207462,N/A,N/A,N/A,N/A,2541440
2001-08-02,6088,6088,5821,5901,-1.63%,5767,N/A,N/A,6350,5950,5816,1880600,2489735,N/A,N/A,176769,N/A,N/A,N/A,N/A,660840
2001-08-03,5990,6043,5865,5945,0.75%,5806,N/A,N/A,5994,5927,5727,1545560,2384149,N/A,N/A,188425,N/A,N/A,N/A,N/A,2206400
2001-08-06,5883,6435,5883,6230,4.79%,5942,N/A,N/A,5994,5950,5816,5591955,3239357,N/A,N/A,456303,N/A,N/A,N/A,N/A,7798355
2001-08-07,6141,6586,6096,6559,5.29%,6127,N/A,N/A,6608,6194,6056,5424865,4043827,N/A,N/A,743046,N/A,N/A,108.38,N/A,13223220
